Designator,Mid X,Mid Y,Layer,Rotation
C1,154.726,-101.092,bottom,270
C2,154.726,-98.044,bottom,270
C3,149.86,-111.506,bottom,0
C4,193.548,-91.948,bottom,180
C5,176.022,-105.664,bottom,270
C6,184.01,-89.916,bottom,270
C7,185.674,-89.916,bottom,270
C8,174.244,-96.774,bottom,270
C9,165.1,-88.4229,bottom,90
C10,163.83,-88.392,bottom,270
C11,162.306,-88.392,bottom,270
C12,155.956,-104.094,bottom,180
C13,165.862,-92.964,bottom,180
C14,157.8864,-91.694,bottom,0
D1,153.638,-91.948,bottom,180
EC1,164.846,-89.154,bottom,90
J1,152.908,-94.234,bottom,0
Q1,206.248,-90.551,bottom,90
Q3,202.311,-90.551,bottom,90
R1,190.246,-90.17,bottom,180
R2,190.246,-91.694,bottom,0
R3,184.404,-102.87,bottom,0
R4,184.404,-104.394,bottom,0
R5,156.464,-108.712,bottom,0
R6,156.464,-107.188,bottom,0
R7,185.42,-86.36,bottom,90
R8,183.9595,-86.36,bottom,270
R9,206.502,-94.742,bottom,0
R10,206.502,-93.218,bottom,0
R11,154.432,-90.17,bottom,180
R12,157.988,-90.424,bottom,180
R13,202.311,-94.742,bottom,0
R15,202.311,-93.218,bottom,0
U1,152.908,-110.236,bottom,0
U2,181.102,-85.852,bottom,270
U3,166.116,-101.6,bottom,270
XT1,156.718,-99.822,bottom,90
J2,187.833,-87.557,top,0
